Item Name,Category,Delete
Elmec PP Thread 840/2/y 1000 mtrs cone - White colour,Consumables,
Emergancy Box & Connection,Wire,
Emergency board,Board,
Emergency Lights,Lighting Items,
Emergency Preparedness Training,Awareness,
Emergency switch,Elecric & Machine Tools,
Employee ESIC,Services,Remove
Employee PF,Charges,
Engineering & Execution,Charges,
ENI Hydraulic Oil Aw 68(210 Ltr)(N),Others,
Envelope,Recycled paper Products,
Enzyme Premix,Consumables,
EPR Consultancy Fee,Consultancy Charges/Services,
EPR Credit Transfer,Charges,
EPR E waste Credits,Charges,
EPR FEE,Charges,
EPR incentive,Charges,
ERECTION INSTALLATION CHARGES,Charges,
ESD back to back Workstation - 2 Tier,Mixed Ewaste,
ESD Tile Flooring,Office Set-Up,
ESD Tiles Flooring,Office Set-Up,
ESD Workstation - 2 Tier (Single Sided),Mixed Ewaste,
ESSAE DS 215 N,Others,
Essae Electronic Weighing Scale,Machine,
"Ethical paper - 25""x36"" - 75 GSM",Recycled paper Products,
"Ethical Paper 25 X 36"" 100 GSM",Recycled paper Products,
Ethical sourcing incentive,Charges,
Ethical Surcharges,Charges,
event,Awareness,
Ewaste,Mixed Ewaste,
E-Waste,Mixed Ewaste,
E-waste Awareness,Awareness,
E-waste Awareness Offline,Awareness,
E-Waste Awareness Online,Awareness,
E-Waste Awareness SPCB,Awareness,
E-Waste Bin,Bins,
e-waste channelization through collection drive,Collection Charges,
E-Waste Collection Drive,Collection Charges,
E-Waste Collection Drive.,Collection Charges,
E-Waste Collection Fee,Charges,
Ewaste Compliance Charges,Charges,
E-Waste Event conduction with SPCB,Awareness,
E-waste offline awareness,Awareness,
E-Waste offline awareness.,Awareness,
E-Waste online awareness,Awareness,
E-Waste online awareness.,Awareness,
Exhaust Fan Installation,Fan,
Exhaust Fans,Fan,
Exo,Consumables,
Exo - bar,Consumables,
Exo bar,Consumables,
Exo dish wash,Consumables,
Expired Salt Disposal,Consumables,
Extra Curricular Activities,Awareness,
EXTRA KILOMETER,Others,
Extra KM,Others,
EXTRA KM.,Others,
EXTRA KM...,Others,
ExxtendIT Consumables,Consumables,
ExxtendIT fabrication work,Office Set-Up,
ExxtendIT Services,Services,Remove
Fabric note book (A4),Recycled paper Products,
Fabric note book (A5 - size 1),Recycled paper Products,
Fabric note book (A5 - size 2),Recycled paper Products,
Fabric Work & Labour Charges,Charges,
Fabricated collection chute for 2 out puts,Collection Charges,
Fabricated Feeding platform,Others,
Fabricated Stand for Vib screen,Others,
Fabrication,Others,
Face Device,Machine,
FaceBot (f31) - Face Recogniti on Attendanc e and Access Control System,Machine,
FaceBot (f31) - Face Recognition Attendance and Access Control System,Machine,
Facility Manager / Entrpreneur,Charges,
Fan,Fan,
Fan  Fitting Charges,Fan,
Fan Belt,Fan,
Fan Clamp,Fan,
Fan connection & Cable routing Lab or charges ,Fan,
Fan fixing and laying with laber charges,Fan,
Fan Switch Box Fixing,Fan,
FD24H Socket FD24H ,Elecric & Machine Tools,
Fee Certification,Charges,
Fevi Stick,Others,
Field Staffs Uniform,Uniform,
Filed staff cost,Charges,
Files,Recycled paper Products,
Fire alarm work,Repairs and Maintenance,
Fire and Machine Safety Audit ,Machine,
Fire Extinguisher Equipment ,Fire Extinguisher,
Fire Extinguisher Safety Valve,Fire Extinguisher,
Fire Fighting & First Aid with  Training,Awareness,
Fire Fighting System Inspection,Awareness,
Fire Fighting Work,Repairs and Maintenance,
Fire Safety Audit,Fire Safety Audit,
First Aid Box With Content,Plastics,
Fitting Charges,Charges,
Fixing of control door bell 230V,Charges,
Flexible Cable,Wire,
Flexible intermediate bulk containers with liner,Elecric & Machine Tools,
Flexible lapp cable,Wire,
Flexible Plastic,Plastics,
Float glass,Others,
floor cleaner liquid,Consumables,
Floor Cleaning Scrubber ,Consumables,
Floor Laying Charges,Charges,
Floor Marking,Office Set-Up,
Floor Marking Tape,Plastics,
Floor Stand for ABC 04 kg F/E,Others,
Floor wiper,Plastics,
Flooring Matt,Plastics,
Fly management,Other Services,
Fly Managemnet,Other Services,
Flyer,Recycled paper Products,
Flyers,Recycled paper Products,
FMCG White,Others,
Foam,Foam,
Foam-,Foam,
Foam (colour),Foam,
Foam she et with sticker 8x4and fixing charges,Foam,
FOG startup,Others,
FOG-Startup,Others,
Foil Paper Waste,Paper Scrap,
Folders,Paper Scrap,
Food & Lodging,Charges,
food and beverages,Consumables,
FOOD GRADE WHITE PP,Plastics,
Food Waste Composting Unit,Composter,
Food Waste Processing,Food Waste Processing Services,
Food waste processing..,Food Waste Processing Services,
Forklift,Others,
Forwarding Charges,Charges,
Frames - Modification ,Others,
Frames Powder Coated,Others,
FREEMANS COMBINSTION PILER,Others,
FREEMANS WIRESTIPPER,Others,
Freight Charge,Charges,
Fresher,Consumables,
Freshner,Consumables,
Freshner-room,Consumables,
Fright,Charges,
Fright Charges,Charges,
Front squeeze rubber,Rubber,Remove
FRP Bins,Bins,
Fuel and Transport expense,Transportation,
Fuel charges Car,Transportation,
Furniture,Others,
G.C,Others,
G.I Wire,Wire,
Garbage waste (infosys),Others,
Garden Shredder Baldes,Machine,
Garden waste clearance,Collection Charges,
Garden waste processing ,Processing Fee,
Garden waste Processing ..,Processing Fee,
Garden Work,Others,
Gate Chain,Others,
Gear Box,Machine,
Gear box and Motor Removing,Elecric & Machine Tools,
GENERAL WASTE COLLECTION SEVICES,Collection Charges,
GENERAL WASTE HANDLING SERVICES,Other Services,
GH800 Club Hanmmer,Others,
GI Bolt,Elecric & Machine Tools,
GI scrap,Others,
GI Wire,Wire,
GI wire (Bale kambbi0,Wire,
Gift box,Gifts and Novelties ,
Gift Items (Tiffin Boxes),Gifts and Novelties ,
Gift wrap,Paper Scrap,
Glass,Others,
Glass Bottle,Others,
Glass loading charges,Charges,
GLASS PP,Plastics,
Gloves,Upcycled Textile Products,
Gloves & Mask,Consumables,
Gloves (AC0180) ,Consumables,
GMT WASTE COLLECTION & PROCESSING,Collection Charges,
GOBBLE MAX COMPOSTER KIT,Composter,
Gong bell,Machine,
Goods transportation charges from Banagalore to saint gobain  Chennai on 22.02.2025,Transportation,
Gps Tracker Devise,Machine,
Graphic Designer,Others,
Grease gun,Others,
Green Coat apron,Consumables,
GREEN TECH UPC WINDOWS INCLUDING  INSTALLATION,Repairs and Maintenance,
GREEN TECH Upvc FIXED INDCLUDING  FITTING ,Repairs and Maintenance,
Grocery,Consumables,
GTW160 Torque Wrench 50_220NM 1by2inch  Sq Dr,Others,
Gum,Others,
Gum Boot,Consumables,
GUN COMMERCIAL,Others,
Hair net,Others,
Half moon sling,Others,
Hand Gloves,Consumables,
Hand Pallet truck,Others,
Hand wash,Consumables,
Handwash,Consumables,
Handwash Station ,Consumables,
Hard broom,Consumables,
Hard Disk,Computer and Accessories,
Hard Disk Shredding Service,Machine,
Hard disk shredding service charge,Charges,
Hardbound Dairy,Recycled paper Products,
Hardbound Diaries,Recycled paper Products,
Hardware Box,Machine Tools,
Hardware items,Plastics,
HARPIC,Consumables,
Harpic 1ltr,Consumables,
HARPIC 2,Consumables,
Harvester Tool,Others,
Hazardous Waste Disposal,Hazardous Disposal,
HDPE,HDPE,
HDPE & PP Caps,HDPE,
HDPE (colour),HDPE,
HDPE (TR),HDPE,
HDPE (White),HDPE,
HDPE- Bottle,HDPE,
HDPE Credits,HDPE,
HDPE Grade - 2 ,HDPE,
HDPE Grade 1,HDPE,
HDPE Grade- 1,HDPE,
HDPE Grade 1 FMCG,HDPE,
HDPE Grade 2,HDPE,
HDPE Grade 2 Non FMCG,HDPE,
HDPE JOB WORK,HDPE,
HDPE Nursery Nets,HDPE,
HDPE Regrinds ,HDPE,
HDPE TR,HDPE,
HDPE/PP Woven Bags,HDPE,
HDPE-Cover,HDPE,
HE00404-Hex Bolt,Elecric & Machine Tools,
HE00407 Nylon Load Wheels With Bearing h,Machine,
HE00409-Nut,Elecric & Machine Tools,
HE00410-Spring Washer,Elecric & Machine Tools,
HE00601-Dowel Pin,Others,
HE00604-Spacer,Others,
HE00606-Axle,Elecric & Machine Tools,
HE00607 Nylon Rollers With Bearing ,Machine,
HE00701 Battery,Battery,
HE00816-Carbon Brush,Plastics,
Head cap,Consumables,
Health Camp,Health CheckUp Serives,
Health Check Up,Health CheckUp Serives,
Heatex,Others,
Helmet,Consumables,
Highlighter,Plastics,
Hikvision 16 Channel NVR,Camera,
Hikvision 2 MP Dome_Bullet camera DS_2CD1023G0E_I,Camera,
Hikvision 2 MP DS_2CD1323G0E_I Dome Camera,Camera,
Hikvision 4 Port POE DS_3E505P_E_M GIGABIT,Camera,
Hikvision PTZ 2 MP DS_2DE4225IW_DE,Camera,
Hindi Translation Services,Language Translation Services,
HM,Others,
HM Granules,Others,
Holder & Plug,Elecric & Machine Tools,
Hopper,Others,
HORIZONTAL AUTOMATIC,Others,
Hose pipes,PVC Items,
Hose reel Drum,Others,
House Keeping Materials,Consumables,
HP 430 G5 LAPTOP SCREEN,Computer and Accessories,
HP ADAPTER,Battery,
HP D-PANEL,Computer and Accessories,
HP SPEAKER,Computer and Accessories,
HRT tissue roll,Recycled paper Products,
HT 224 220g 0.0001g 80mm Dia Analytical Balance With Density Measurement Kit,Machine,
Huawei E8372 4G/LTE Wi-Fi Wingle ,Computer and Accessories,
Hub & Spoke Waste Collection,Collection Charges,
Hulladek Collection Center ,Collection Charges,
Hydraulic Baling Machine,Machine,
HYDRAULIC BALL VALVE,Machine,
Hydraulic cylinder,Machine,
Hydraulic Hand Pallet Truck ,Machine,
Hydraulic Oil,Consumables,
Hygiene kit,Consumables,
Hygiene kit Men,Consumables,
i3 10th Gen,Computer and Accessories,
Ice Cup,Paper Scrap,
ICE Cupes,Paper Scrap,
Ice cups,Paper Scrap,
ID Cards,Paper,Remove
Identity Check,Others,
IIOT Platform Annual Subscription,Charges,
IKON CUTTER,Machine,
IKON MAGNETIC WHITE BOARD DUSTER,Board,
Impact Wrench,Others,
Inbuilt Battery,Battery,
Inbuilt-Battery,Battery,
Incentive ,Charges,
incentive for milk pouches ,Charges,
Inclined Conveyor Welding For Roller (Stainlees Steel),Machine,
Inclined conveyor with Blower & Air chute,Machine,
Industrial bell,Machine,
INDUSTRIAL EMPLOYEE LOCKER,Machine,
Industrial fan,Fan,
Industrial Gong Bell,Machine,
Industrial Siren,Machine,
Infosys - Ace Transportation charges,Transportation,
Infosys - canter Transportation Charges,Transportation,
Infosys - Shols Glass Clearance,Transportation,
Infosys M. City Canter Transportation and Processing,Transportation,
Infosys M. City Glass Clearance,Transportation,
Infosys M. City Negative value materials clearance,Transportation,
Infosys-Mcity Glass Clearance,Transportation,
Infosys-Wet Waste Collection,Collection Charges,
Ink tank printer,Printer,
Inlay Card,Paper,Remove
Installation & Service Charges,Other Services,
Installation and fixing and IP setting,Other Services,
Installation Charges,Charges,
Installation of RS232 port,Charges,
Insulate Tape,Plastics,
Insulation Tape,Plastics,
Insution Tape 2 nos,Plastics,
Integrated Software for SWM Operations,IT Software & Networking,
Integrated Wifi Module,Internet,
Integrated Wifi-Module,Internet,
Inter Lock,Internet,
Internet ,Internet,
Internet - Monthly,Internet,
Internet Expense,Internet,
Inverter,Machine,
Inward Register,Paper,Remove
IoT Device Kit,IoT Devices,
IOT Gateway Device,IoT Devices,
IOT Gateway Devices,IoT Devices,
IOT professional Services ,Other Services,
IoT/VSQC Support,IoT Devices,
IP Box Enclosure ,Elecric & Machine Tools,
IP Camera service,Camera,
Iron,Metal Scrap,
Iron Sheets,Metal Scrap,
Iron Tin,Metal Scrap,
IT Equipment- Refurbishment Facility,IT Software & Networking,
ITEW 15,ITEW 15 (Mobiles),
ITEW 2,Computer and Accessories,
ITEW 21,Scanner (ITEW 21),
ITEW 3,ITEW 3,
ITEW 6,Printer,
ITEW 7,Copying Machine (ITEW7),
ITEW 9,Systems (ITEW9),
ITEW1,ITEW 1,
Jacket,Consumables,
JCB COST,JCB Rentals Serives,
JCB Loading,JCB Rentals Serives,
JOB WORK,Job Work,
JUICE CUP PP,Plastics,
Jumbo Bags,Upcycled Textile Products,
Jute Bags,Upcycled Textile Products,
Jute Folders,Upcycled Textile Products,
Jyoti Foods Clearance and Processing,Consumables,
Kadak,Others,
Katran AWS Large 1 unit,Elecric & Machine Tools,
Katran D leaf S05 1 unit,Elecric & Machine Tools,
Katran Dleaf 202.,Elecric & Machine Tools,
KATRAN-OWC,Elecric & Machine Tools,
Key Rod,Elecric & Machine Tools,
Key Switch,Elecric & Machine Tools,
Kirloskar Make KDS 235 Pump,Machine,
KM9V Allen Key Set (1.5 to 10mm),Elecric & Machine Tools,
Knife Uk3  Taparia,Others,
Kora Bags,Upcycled Textile Products,
Kora Bags Big,Upcycled Textile Products,
Korai Boxes 3by3 inches,Elecric & Machine Tools,
Korai Boxes With fabric  4by4 inches,Elecric & Machine Tools,
Kraft Box Scrap,Elecric & Machine Tools,
Kraft cover Diaries,Recycled paper Products,
L clamps,Elecric & Machine Tools,
Labor charges,Charges,
Labour Charges,Charges,
labours charges,Charges,
laminate  sheet,Recycled paper Products,
Laminates,Recycled paper Products,
Laptop tech kit,Computer and Accessories,
Large Bags,Upcycled Textile Products,
Laying Charges,Charges,
Laying Charges for ESD Tiles Flooring,Charges,
Laying og 2 core & cable routing labour charges,Charges,
LCD,LED/LCD/TV (CEEW1),
LCD Projector,LED/LCD/TV (CEEW1),
LD Polypack,Others,
LDPE (Colour),LDPE,
LDPE (Grade 1),LDPE,
LDPE (Grade 2),LDPE,
LDPE (Grade 3),LDPE,
LDPE Credits,LDPE,
LDPE-Cover,LDPE,
Leaf Composter,Composter,
Leaf Composting Infrastructure,Composter,
Leaflet,Recycled paper Products,
Leave Cards,Recycled paper Products,
LED Bulb,Lighting Items,
LED Light Installation,Lighting Items,
LED Tube Bulb,Lighting Items,
LENOVO C- TYPE ADAPTER,Computer and Accessories,
letter,Recycled paper Products,
Lid light,Lighting Items,
Light removing charges,Charges,
Lithium Ion Battries,Battery,
Loading ,Others,
Loading Charges,Charges,
Logo Designing,Others,
Logo Loop Tag,Recycled paper Products,
Long Rake 3,Others,
LoRaWAN Multi Channel Indoor Gateway,Internet,
LoRaWAN RS232 Interface,Internet,
Low Value Plastic (LVP),Plastics,
LR Charges,Charges,
LR COPY,Paper,Remove
LT metering & Laisoning work,Other Services,
Lunch,Services,Remove
Lunch Bench,Others,
Lunch Coupona,Paper,Remove
Luxor correction pen,Plastics,
LUXOR WHITE BOARD MARKER,Plastics,
LWF,Others,
M S Angles,Others,
M S Flats,Others,
M S PARTITION WALLS,Others,
M S Pipe,PVC Items,
M/Foam 45Ltr Capacity,Foam,
Macchine Screw,Elecric & Machine Tools,
Machanical walk behind sweeper,Machine,
Machine Shifting & RPG Training,Awareness,
Machine Spares,Machine,
Machinery for ZWP,Machine,
Magazines,Paper,Remove
Main motor ON/OFF switch,Machine,
MAINTENANCE,Repairs and Maintenance,
Management cost,Charges,
manpower services,Manpower Services,
Manual Baler Machine,Machine,
Mask,Upcycled Textile Products,
MASKING TAPE,Plastics,
Material,Others,
Material Compounding,Others,
Material cost,Charges,
Material Movement ,Others,
Material Purchase,Charges,
Material purchase andwans ,Charges,
MATS (SCF),Upcycled Textile Products,
MATS (SCF)-,Upcycled Textile Products,
Mattress,Furniture,
MCB Fixing ,Elecric & Machine Tools,
MCB plate,Elecric & Machine Tools,
Mcb SP 6,Elecric & Machine Tools,
MCG Detention Charge,Charges,
Medical health check charges,Charges,
Medical Test,Charges,
Melt Flow Index - Deluxe ( Model No : MFI - DX),Others,
Men Uniform,Uniform,
Metal chair,Furniture,
Metal Detector,Elecric & Machine Tools,
Metal Locker( powder coated),Furniture,
Metal MS,Metal Scrap,
Metal- Silver,Metal Scrap,
Metal Works,Repairs and Maintenance,
Metalized MLP,Metal Scrap,
Mezzanine Floor,Machime Installation and Setup,
Mezzanine Flooring,Machime Installation and Setup,
Mezzanine Hook Work,Machime Installation and Setup,
Milestone One Advance Payment for Project Initiation,IT Software & Networking,
Milestone One(Zoho Creator MRF Dashboard),IT Software & Networking,
Milestone Two Implementation of Zoho Creator PRF Dashboard,IT Software & Networking,
Milk,Consumables,
Milk Cover - SI Expenses,Plastics,
Milk for Tea,Consumables,
Milk Pouch,Plastics,
milk pouch incentive ,Plastics,
Milk Pouch.,Plastics,
Milk Pouches,Plastics,
MILK SUPPLY,Consumables,
Miscellaneous Work,Others,
Mix E Waste for the month of Jan'21,Mixed Ewaste,
Mix Foam and Thermocol,Foam,
Mix plastic,Plastics,
Mix Waste Plastic Scrap,Plastics,
Mixed Black pp,Plastics,
Mixed colour paper,Plastics,
Mixed E waste,Mixed Ewaste,
Mixed Flexible Plastic,Plastics,
Mixed ldpe,LDPE,
Mixed Metal,Metal Scrap,
Mixed Natural PP,Plastics,
Mixed Plastic,Plastics,
MIXED PLASTIC WITH NATURAL ,Plastics,
MIXED PUGGA,Plastics,
Mixed Rigid Plastic,Plastics,
Mixed Shredded HDPE.,HDPE,
Mki Dol Statar L&T,Others,
MLP,MLP,
MLP-,MLP,
MLP & disposable materials,MLP,
MLP Waste,MLP,
MLP-LVP,MLP,
MODEL SURFACE BOX,Elecric & Machine Tools,
Modular type ABC 5Kg capacity fire extinguisher,Fire Extinguisher,
module plate & box,Elecric & Machine Tools,
Momentom frames,Plastics,
Monitor,Computer and Accessories,
"Monitor 19""",Computer and Accessories,
monitor repair,Computer and Accessories,
MOP,Consumables,
Mop Set,Consumables,
Motherboard,Computer and Accessories,
Motor Mounting Plate,Machine,
Motor starter,Machine,
MRF Plant Machines,Machine,
MS BAR,Others,
MS Frame,Others,
MS frame for IOT,IoT Devices,
MS Sections,Others,
MS Shredder,Machine,
MS Sorting table,Furniture,
MS STEEL FABRICATION 60/60 SQUARE  18METER ,Office Set-Up,
MS TUBE,Others,
MSEAL EPOXY COMPOUND,Consumables,
Muffle Furnace - Digital ( Size : 5x5x10 inches ) 900 Degree Celcius,Machine,
Multy Layered Plastic,Plastics,
My Operator Toll Free Number,Others,
MyGate Community Engagement Programme,Awareness,
N95 Mask,Upcycled Textile Products,
Nail Traum Machine,Machine,
Nataraj Ball Pen,Plastics,
Natural HDPE,HDPE,
Natural mix ,Others,
Natural PP,Plastics,
Natural shredded HDPE,HDPE,
Natural Tube,Others,
Natural tubes ,Others,
NC Element,Others,
NC Elimante,Others,
Negative (-) Terminal -HS-E,Others,
Negative value materials,Others,
Network Plate,Others,
Network Rack 2U,IT Software & Networking,
Networking Accessories - ExxtendIT,IT Software & Networking,
New Compost Microbes 1 Kg  (AC0110),Composter,
New Starter Fixed,Others,
New Supply of ABC 6KG Capacity F/E.,Others,
New Supply of CO2  4.5 KG Capacity F/E,Others,
New Supply of Hose With Horn for C02 4.5 KG Capacity F/E,PVC Items,
News Paper,Paper,Remove
News Paper Ads,Paper,Remove
Night Time security charges at DWCC,Charges,
Noise sample analysis,Others,
Non bio degradable waste in exess,Consumables,
Non Drive Roller,Machine,
NON HAZARDOUS WASTE ,Mixed Ewaste,
NON TERRABLE SHEET,Recycled paper Products,
Normal File,Paper,Remove
Normal lights,Lighting Items,
Note Book,Recycled paper Products,
Notebook,Recycled paper Products,
Nozzle for Hose reel,PVC Items,
Nut,Elecric & Machine Tools,
NVR 16 Channel,Camera,
OBP Incentives,Charges,
Odonil,Consumables,
Office,Charges,
Office fan,Fan,
Office Files  ,Recycled paper Products,
Office Stationary,Recycled paper Products,
Office tables work,Furniture,
Oil Cover,Consumables,
O'joy Leaf Composter,Composter,
Old company switch box and all wires removed,Elecric & Machine Tools,
Old company switch box and fan removed,Elecric & Machine Tools,
One Paramount - Ace Transportation (Dry),Transportation,
One Paramount Reject Transportation,Transportation,
One Paramount Wet Transportation,Transportation,
Onile Configeration with software,IT Software & Networking,
onion,Consumables,
Operations charge,Charges,
Operations-Travel-Food & Lodging,Charges,
Other Electrical Work,Charges,
Others,Others,
Others - Dry Waste,Dry Waste,
Others - Dry Waste-,Dry Waste,
Outdoor bracket,Others,
Outer brick wall,Others,
OWC 130,Others,
Owc Choppor Blades,Machine,
OWC Consumables,Consumables,
OWC Gaia 800 (CC1000) ,Others,
Owc Main Motor Cooling Fan,Fan,
Owc Shreder Blades,Machine,
PACKING,Other Services,
Packing & Forwarding Charges,Charges,
Packing Charges,Charges,
Packing Material,Others,
Padmini Manpower and Transportation ,Transportation,
Paint,Consumables,
Paint bucket,Plastics,
Paint Buckets(White PP),Plastics,
Paint pails,Plastics,
Palli,Others,
Palm Boxes 5by3 inches,Elecric & Machine Tools,
Palm Trays 8by2 inches,Tray,
Panel Box,Elecric & Machine Tools,
Panel kits,Elecric & Machine Tools,
Pape sampling charges,Charges,
Paper Bags,Recycled paper Products,
Paper Bowl,Recycled paper Products,
Paper Box,Recycled paper Products,
Paper Cups,Recycled paper Products,
Paper pen,Recycled paper Products,
paper pencil,Recycled paper Products,
Paper sand,Recycled paper Products,
Paper Shredding,Paper,Remove
Park Bench,Others,
Park Hyatt Transportation,Transportation,
Participation fee,Charges,
Partition work,Charges,
PC Assembling Cost,Charges,
PC Rubber gloves ( yellow inside lining),Consumables,
Pedestal Air Circulator (Fan),Fan,
Pedestal Air Circulator Fan,Fan,
Pedestal Fan,Fan,
Pen,Plastics,
Pen & Marker,Plastics,
Penalty Charges for Weighing Scale Calibrations,Charges,
Pens & Markers,Plastics,
Penstand,Plastics,
Permanent marker,Plastics,
Pest Control Service,Pest Control Service,
pest management services,Pest Control Services,
PEST SERVICE,Pest Control Services,
PET,PET Bottles,
Pet bales,PET Bottles,
Pet bottle white,PET Bottles,
Pet Bottles,PET Bottles,
PET Bottles- Green ,PET Bottles,
Pet bottles scarp ,PET Bottles,
PET BROWN,PET Bottles,
Pet Caps,PET Bottles,
PET Job Work ,PET Bottles,
PET LIQUOR,PET Bottles,
PET OBP,PET Bottles,
PET Sorting Unit,PET Bottles,
PET-Bottles,PET Bottles,
Phenol,Consumables,
Phenyl Compound,Consumables,
PHILIPS 20W INVERTER T BEAM LED BULB,Lighting Items,
Photo frame hanger and hinges,Plastics,
Photo frames,Plastics,
Photoshoot charges,Charges,
Physical Audit,Charges,
PICK UP VEHICLE,Transportation,
PIPE BEND,PVC Items,
Pitch Forks and Spades,Elecric & Machine Tools,
Plant with ceramic pot,Others,
planter handle charges,Charges,
Plaster of paris,Consumables,
Plastic,Plastics,
Plastic Bowl (Different Sizes)  (AC0320),Plastics,
Plastic Buckets Small (AC0330,Plastics,
Plastic Cans,Plastics,
Plastic Chairs,Plastics,
Plastic Crates with Lid,Plastics,
Plastic Drum with Lid (AC0340) ,Plastics,
Plastic HDPE,HDPE,
Plastic LDPE,LDPE,
Plastic Milk Bags,Plastics,
PLASTIC SCRAP FLEXIBLE,Plastics,
PLASTIC STRAPPING(PACKING MATRIAL),Plastics,
Plastic Waste,Plastics,
Plastic Wheelie Bins (660 L),Bins,
Plastic wiper,Plastics,
Plastics,Plastics,
PLATFORM SCALE,Others,
PLATTER SIZE 700 X 800 MM MS SINGLE LOAD CELL PLATTER,Battery,
Plug Kattai,Elecric & Machine Tools,
Pneumatic Hose 8mm ,PVC Items,
Pocha,Consumables,
POE Switch,Elecric & Machine Tools,
