Item Name,Category
police verification charges,Charges
Polyal Corrugated Roofing Sheet,Sheet
PolyAL-MS Furniture,Others
Polycab Wire,Wire
Polycarbonate sheet - 2mm,Sheet
Polypropylene and Polyethylene,Sheet
Portable Toilet,Bio
Positive (+) Terminal -HS-E,Switch
POST CONSUMER LAMINATE {PCL},Sheet
Post Consumer Tetra Cartons,Consumables
Post Consumer Tetrapak Carton,Consumables
poster,Paper
Potentiometer,Switch
PP,Plastics
PP Bags,Plastics
PP Bottles,Plastics
PP Crates,Plastics
PP Credits,Plastics
PPCP Chips,Plastics
PPCP Granules,Plastics
PPCP Grinding & Washing ,Bio
Presser Rod,Metal
Pressfit 1.5sqmmx2 core cable,Wire
PRESSFIT 6+6 SPIKE GUARD,Metal
PRESSFIT INDUSTRIAL TESTER,Metal
Print LDPE,LDPE
Printed Sheets,Sheet
process charges,Charges
Process over buzzer,Others
Processing & Handling charges,Charges
Processing Charges,Charges
Processor,Others
Professional Fee for filing the Application+ Follow ups  +Response to an office,Charges
professional fees,Charges
Professional Services Towards 100% Advance on signing of MOU & starting the project for Saahas DFL Training,Services
Professional Services Towards 100% Advance on signing of MOU and starting of the Project for Livlihood,Services
Professional Services Towards 70% Advance on signing of MOU & Starting the Project for EDP Training,Services
PUGA,Others
Pull Rod Assy,Metal
Pulley conduct ,Others
Pump piston,Machine
PUNE_DEVIL CIRCUIT OPERATIONS,Wire
purchase,Charges
Purchase of raw material from vendor,Charges
Purchases,Charges
Push Button Starter For Vib screen ,Switch
Push Pin Board,Board
PVC,PVC
PVC Band,PVC
PVC Belt conveyor-flat,Machine
PVC Box,Box
PVC Clamp 6mm,Screw
PVC Conveyor Belt,Machine
PVC PIPES,PVC
PVC Rubber gloves (plain),Rubber
PVC VINYL PRINT,PVC
PVC VINYL SELF ADISHIV PRINT,PVC
Quality check expenses,Charges
Rack,Furniture
Radio Activity Program E Waste Awareness Activity FY 20_21,Others
Rafia,Others
Ram,Others
Ram 8GB,Others
RAMBO COMMERCIAL 100 LTR,Others
Ramp work,Others
Receipt Book - Carbonless paper 1+1 (100 Pages/Book),Paper
Recharging fire extinguisher,Fire Extinguisher
Recharging Of ABC 4 KG Capacity F/E,Others
Recharging of ABC 4 KG Capacity F?E,Others
Recharging of ABC 6 KG Capacity F/E,Others
Recharging of ABC 6KG Capacity F/E,Others
Recharging of C02 4.5 KG  Capacity F/E,Others
Recharging Of CO2 4.5 Capacity F/E,Others
Recharging of M/F 50 Ltr Capacity F/E.,Others
Recycled Ceramic Bowl,Ceramic
Recycled Ceramic Mug,Ceramic
Recycled Ceramic Mug-Vasu,Ceramic
Recycled Ceramic Mug-Vyom,Ceramic
Recycled Certificates,Paper
Recycled Composite Board Ecolink 1220*1220*8mm,Board
Recycled Composite Board Ecolink 2440*1220 * 18mm,Board
Recycled Composite Board Ecolink 2440*1220*6mm,Board
Recycled M-Fold Tissue,Paper
Recycled Paper,Paper
Recycled Paper - Pen,Paper
Recycled Paper A4 Reams,Paper
Recycled Paper Diaries,Paper
Recycled Paper Frames,Paper
Recycled Paper Pencils,Paper
Recycled Paper Visiting Cards,Paper
Recycled Pens (Cap),Plastics
Recycled Pens (Click),Plastics
Recycled PET - Polyester Cotton Polo T-Shirt,Textiles
Recycled PET - Polyester Polo T-Shirt,Textiles
Recycled PET Cotton Polo T-Shirt (50% cotton and 50% Polyester),Textiles
Recycled PET Polo T-Shirt,Textiles
Recycled Plastic Sheet,Sheet
Recycled Plastic Sheet - 6MM,Sheet
Recycled storage rack,Furniture
Recycled Toilet Roll,Paper
Recycled TP - A4 Reams - 500 Sheets in A Pack,Paper
Recycled TP - Coasters,Plastics
Recycled TP - Pen Stand (Double Cavity),Plastics
Recycled TP - Pen Stand (Single Cavity),Plastics
Recycled TP - Reprocessed Composite Board (8ft x 4ft,Board
Recycled TP - Tissue Roll - Medium,Paper
Recycled TP - Tissue Roll - Small,Paper
Recycled TP - Tray (Big),Tray
Recycled TP - Tray (Small),Tray
Recycled TP Composite Board 8ft x 4ft,Board
Recycled TP Pen Stand - Single,Plastics
Recycled TP -Photo frame,Plastics
Recycled TP PolyAl Flat Sheets - 8ft x 4ft,Sheet
Recycled TP PolyAl Tables,Furniture
Recycled TP- SZW Notebook (80 Pages),Paper
Recycled TP- SZW Notepad (20 Pages),Paper
Recycled TP- SZW Notepad (40 Pages),Paper
Recycled TP Tray - Large,Tray
Recycled Tp-Polyal Flat Sheet,Sheet
Recycled waste bin with Metal,Metal
Recyled Pen Stand 1,Plastics
Red Shredded HDPE.,HDPE
ReDenim Event Tote w/ custom print,Textiles
Redenim Founder  Bag,Bags
ReDenim Half Moon Sling,Bags
ReDenim Hustler Bag 15 inch,Bags
Redenim Slim Laptop Bag,Bags
Redundant Book Scrap,Paper
Referral Fee,Charges
Refilling ABC Powder Type Fire Extinguisher,Fire Extinguisher
Refilling CO2 Type Fire Extinguishe,Fire Extinguisher
Refilling of  Mechanical Foem 50 Ltr Capacity F/E,Others
Refilling of fir Extinguisher ,Fire Extinguisher
Refilling Of Mechanical Foam 50 ltr Capacity F/E,Thermocol
Refrigerator(CEEW2),Refrigerator
Refurbished work station,IT
Refurbishing plant rent,Charges
Refurbishment Consumables,Consumables
Registers and Books,Paper
Registration Charges ,Charges
Reject Transportation,Transport
Reject waste Clearing,Services
Reject waste transportation & Processing,Transport
Rejects Transportation & Processing - One paramount,Transport
Rejects waste processing charges,Charges
Rema Connector,Others
Rent,Charges
repair and maintenance charges,Charges
Repair charges for DWK device,Charges
Repaired the Baling Machine (Sensor problem),Machine
Report Design,Others
Resource Charges,Charges
Return Roller,Machine
Revo Bag Closing Machine,Machine
Revo Bag Closing Machine Model : DAD,Machine
"Rice bran plate 10""",Plastics
"Rice bran plate 12""",Plastics
"Rice bran plate 7""",Plastics
Ricron 12mm,Others
Ricron 18mm,Others
Ricron 25mm,Others
Ricron 30mm,Others
ricron 5mm,Others
Ricron Delta 8mm,Others
Ricron flate sheet - 8 mm,Sheet
Ricron Roof Sheet,Sheet
Ricron Sheet,Sheet
Ridges,Others
Rigid plastic,Plastics
Ring Spanner 10by11 Taparia,Spanner
Ring Spanner 12by13 Taparia,Spanner
Ring Spanner 14by15 Taparia,Spanner
Ring Spanner 16by17 Taparia,Spanner
Ring Spanner 18by19 Taparia,Spanner
Ring Spanner 20by22 Taparia,Spanner
Ring Spanner 21by23 Taparia,Spanner
Ring Spanner 24by27  Taparia,Spanner
Ring Spanner 6by7 Taparia,Spanner
Ring Spanner 8by9 Taparia,Spanner
Rings,Others
Rixron Ridges,Others
RO WATER DISPENSER CUM COOLER ,Machine
Road Waste,Dry
Robotic sorting arm,Machine
Rock Wool Handling,Others
Rodent management,Others
Roof Angle Fabrication Work (30Feet Height ),Others
Roofing Sheet fitting,Sheet
Roofing sheets,Sheet
Room air freshener ,Bio
Room Freshener,Bio
Room Freshner,Bio
Room Spray,Bio
Room Sprey,Bio
Room-Freshner,Bio
Rope work,Others
Rotary Parts,Others
RS 10mm,Others
RT8O9F,Laptop
RT8OgH 3lADAPTER,Laptop
Rubber,Rubber
Rubber Door Mat,Rubber
Rubber Dust ,Rubber
Rubber floor mat interlocking type (20mm,Rubber
Rubber Gloves Surf,Rubber
Rubber Stamp,Rubber
Rubber tube ,Rubber
S S Sorting Table,Furniture
S.S Trough Table,Furniture
Sacks and Bags,Bags
Safety Gloves,Rubber
Safety Goggles,Plastics
Safety helmet yellow,Plastics
Safety net 10/175 ,Others
SAFETY SHOES,Others
SAFETY SHOES - FUEL,Others
Safety shoes - Hilson workout,Others
Safety Shoes - Ladies,Others
SAFETY SHOES - PRIDE,Others
Safety Shoes- Fuel,Others
Safety valve,Others
Salary,Charges
Salt - Sugar,Bio
Sample box charges ,Box
sand bucket,Plastics
Sanitary chamber cleaning,Charges
SANITIZER,Bio
SANITIZERS,Bio
Sarees for ladies,Textiles
Sarvam Monitoring and Evaluation,Charges
Satin Black,Textiles
Satin Standees,Standee
SAW DUST,Others
Scaffolding Material Rental Charges,Charges
Scanning Box,Box
SCF,Others
SCF-,Others
School Bench,Others
Scissor Lift Table ,Furniture
Scissors,Others
Scrap,Others
Scrap Clearing & Disposal,Others
Scrap Microwave Ovens,Mixed Ewaste
Scrap Office goods,Others
Scrap-Mixed Plastic,Plastics
Scratch & Patch,Plastics
Screen printing ,Printer
Screw Driver Set BDS 125 Taparia,Screw
Scrubber brush,Bio
Seagate 4TB Surveillance HDD,Camera
Seal Kit Assy,Others
Seating Sheet work ,Sheet
Second grade Black PP,Plastics
Security Deposit,Charges
Security Services ,Services
Segregating Stand ,Others
Segregation labour charges,Charges
Seive,Others
Self Leveling Compound,Others
self screws,Screw
Semi Electric Stacker,Machine
Semi Electric Stacker service & Maintainance,Services
Semi Sorted-,Others
Sensor cable 4 core,Wire
Septic tank Clearance,Services
Servers & Acc,IT
Service Care Payment,Services
Service Charges,Services
Service charges for assembling & disambling conveyor ,Services
Service charges for baler machine,Services
Service Charges for WMGT,Services
Service Fee-Plastic Waste Collection,Services
Service Sharges,Services
SERVICES,Services
Servos Massimo IP Tall tubular  battery,Battery
Shaft Pul,Others
Shed drawing & Machine layout,Machine
Sheet Cutting,Sheet
Sheet Extrusion,Sheet
Shipping & Handling Charges,Charges
Shipping Charges,Charges
Shipping-Charges,Charges
Shivanika foods Clearance,Bio
Shoes & Slippers,Rubber
Shoes & Slippers-,Rubber
Shovels 2),Metal
Shredded Black PP,Plastics
Shredded Color PP,Plastics
Shredded Mix HDPE,HDPE
Shredded Mixed PP,Plastics
Shredded Natural PP,Plastics
Shredded Paper,Paper
Shredded PP,Plastics
Shredded TR HDPE,HDPE
Shredded White HDPE,HDPE
Shredded White PP,Plastics
Shredded White PP Food plate,Plastics
SHREDDER CUTTERS,Metal
SHREDDER MACHINE,Machine
Signage and Paper Board,Board
Signage Board,Board
SIGNAGE BOARD 10*10,Board
SIGNAGE BOARD 10*24,Board
SILICON SEALANT,Bio
Single Box Baler,Box
SINGLE TUBE ZOOM MICROSCOPE,Metal
single use mask,Textiles
Siren,Machine
Sisal Fibre Straw Cleaners,Plastics
Site fitting and labour,Others
Site rental for debris storage,Others
Slim laptop bag (bag pack),Bags
Small Bags,Bags
Small Vehicle Accenture dry clearance,Vehicle
Small Vehicle Infosys Mcity glass clearance,Vehicle
Small Vehicle Infosys Shols Dry clearance,Vehicle
Small Vehicle One Paramount Dry,Vehicle
Soap,Bio
Soap Oil,Bio
Social inclusion incentive support,Others
Social Inclusion Surcharge,Charges
Socket,Wire
Socket Fixing and connection ,Wire
Socks Black,Textiles
Soft Broom,Bio
Software Development,IT
Software Installation,IT
Sorted Material Purchase,Others
Sorted waste,Others
Sorting Cost,Charges
Sorting Staff,Services
SPCB Event for awareness,Awareness
Specimen Prep/Conditioning,Others
Spray Gun,Metal
Spray paint,Bio
Spring pump,Machine
spring verify,Others
Squeegee wheel,Others
Squeezer /  Floor Wiper,Bio
SS Bins,Bins
SS Chopper,Machine
SS Trough table,Furniture
SS Water Bottles,Bottles
SSCI WHITE BOARD 3FX4F ,Board
SSD,Others
stacker,Others
Standee,Standee
Standee 6x 3 New,Standee
Standee 6X3 Old,Standee
Standees,Standee
Starter 3hp,Machine
Stationary Charges,Charges
Stationery,Charges
Statutory  and Compliance Service,Services
Statutory & Compliance Services ,Services
Statutory and Compliance Services,Services
STATUTORY FEE FOR FILING TM EXXTENDIT under  cl 37 and cl 35.,Charges
Steal Scrubber,Metal
Steel,Metal
Steel 30 Door Mobile Locker,Metal
Steel Ball,Metal
Steel Glass door Almirah ,Metal
Steel straw,Metal
Stickers,Paper
Stitching Charges ,Charges
Storage Racks Fabrication,Furniture
Structural Design and consultation,Charges
Sub Lease Rent,Charges
Submission charges ,Charges
Suction motor 23 QV,Machine
Sugar,Bio
SUGAR/TEA POWDER,Bio
Sunboard,Board
Sunboard -Vinyle Printing with lamination,Board
Sunboard-Vinyle Printing with Lamination,Board
Supervisor Cost,Charges
Supervisor Uniforms,Textiles
Supply and Installation of CT operated energy meter,Machine
Supply and installation of Electrical work,Charges
Supply of Fire Blankets,Others
Supply of Fire Bucket,Others
Supply of Fire Extinguisher (ABC 4Kg),Fire Extinguisher
Supply of Signages,Others
Supply of Stand,Others
Surf exel,Bio
Surgical Mask,Textiles
Swing bearing,Machine
Switch Box,Switch
Switch box and 8 model box,Switch
SWITCH TYPE 1 MCB,Switch
SWP-Dry Waste (Payback),Dry
Symphony Sumo,Others
Syren fixing and connection,Charges
SyRotech Modem + Router,Machine
SZW Hard Bound Diary,Paper
SZW Notepad,Paper
T - Rolls,Paper
T Shirts,Textiles
T470s Base,Others
T470s KEYBOARD,Laptop
Table Frame,Furniture
Table structure,Furniture
Tables,Furniture
Tags,Paper
Tape,Plastics
Tape Insulation,Plastics
Tape Roll,Plastics
TAPE ROLL (DEER),Plastics
Tarpaulin 1,Sheet
Tarpaulin Sheet,Sheet
Tarpaulin Sheet (AC0420),Sheet
TATA ACE VEHICLE HIRED,Vehicle
TC Dol Stater,Machine
TCS@0.1%,Others
Tea glass,Paper
Tea Powder,Bio
Tea/Cofe,Bio
Technical Services,Services
telescope pole,Metal
Tensile Test,Others
TENT HOUSE ,Textiles
Testing & Training,Services
Testing Charges,Charges
Tetra Pak,Plastics
Textile,Textiles
Textile Bricks,Textiles
TGA,Others
THARMCOL,Thermocol
Thermacol ,Thermocol
Thermacol.,Thermocol
Thermocol (Ghatta),Thermocol
Thick Natural Plastic,Plastics
Thin Natural Plastic,Plastics
THINKPAD LOGO,Paper
THINKPAD LOGO SATA Y CABLE,Wire
Thinner,Bio
THREAD,Textiles
Thread roll,Textiles
Threading &  Threading welding work for Baling machine,Machine
Tiffin Boxes,Box
Tiffin Boxes - Gift,Box
tiltiag Arbour circular saw,Metal
Tinner,Metal
Tins,Metal
Tipper for C&D Debris Removal ,Metal
Tissue Papers,Paper
Toilet - brush,Bio
Toilet brush,Bio
Toilet Cleaner,Bio
Token advance,Charges
Toll Charge,Charges
Tools (crate 1,Metal
Toughened Glass,Others
Towards arranging calibration,Others
Tracking Device,Others
Training & Awareness Session of Waste Management,Awareness
Transit Insurance,Charges
Translation Service,Services
Translation Services,Services
Transparent - Cover,Plastics
Transparent Cover,Plastics
Transparent flexibles  Plastic,Plastics
Transport Charges,Transport
Transportation and labours charges,Transport
Transportation and Processing ,Transport
Transportation Chennai Enviro Engineers,Transport
Transportation of Paper waste,Transport
Transportationcharges,Transport
Travel expense,Charges
Travel Pouch,Textiles
Travelling Charges,Charges
Tray Big,Tray
Tray Small,Tray
Trays,Tray
Trolly Cabinet - Big,Furniture
Truck Cost,Charges
TRUCK UNION PADMINI,Charges
TRUE Certification,Others
TRUE Registration,Others
TV full unit,LED/LCD/TV
Twin Box Baler ,Box
Tyre purchase ,Charges
UK3 Utility Knifes,Metal
Ultimate handbag,Bags
Uniform Trouser,Textiles
Unlaminated HDPE Bags,HDPE
Unloading,Others
Unsorted Dry Transportation - One Paramount,Transport
Upcycled Cloth Bags,Textiles
Up-Cycled Denim Bag - Pack,Bags
Up-cycled Denim Bag-Pack ,Bags
Upcycled Denim Product,Bags
UPS & Battery,Battery
UPS Connection,Battery
UPS Repair,Charges
UPS Repaired and labour charges,Charges
UPS Switch not worked removed connection,Switch
USB Keyboard & Mouse,Laptop
USB TO SERIAL PORT CONVERTER,Laptop
Used Corrugated Boxes,Box
Used Fuel Filters,Others
USED LAPTOPS,Laptop
Used Lube Oil,Bio
Used Oil,Bio
Valve VE MPW 06_2 1 0 Y Yuken,Machine
VECHICLE HALT ,Vehicle
Vehice hiring,Vehicle
Vehicle fabrication,Vehicle
Vehicle Hold ,Vehicle
Vehicle holding chargers,Charges
Vehicle rent,Charges
Vehicle service and repair,Services
Vertiv 20 kva Ups,Battery
VFD AC Drive,Air Conditioner
VGF,Others
Vibrating feeder,Machine
Vibrating hopper feeder,Machine
Vibrating Screen,Laptop
Vibratory feeder VS,Machine
Vibratory feederr,Machine
Video Connector,Wire
Vinyl Sticker with Lamination,Wire
Vinyl sticker with lamination.,Wire
Vinyl sticker with sunboard,Wire
Vinyl Stickers With Matt lamination,Wire
Vinyl with 5mm Sun Board with Lamination,Wire
Vision sensing development,Others
Vision sensing edge device,Machine
Visiting Cards,Paper
VS Edge device,Machine
Walk Behind Scrubbing Machine,Machine
Wall Fan Clamp,Fan
WALL FANS,Fan
Wall mount kit,Others
Warehouse rent ,Charges
Waste Audit Fee,Charges
Waste Bin Ppt Wheelie90 Ltr,Bins
Waste Collection and Processing,Collection
Waste Handling,Charges
Waste Handling Charges ,Charges
Waste Management Service,Services
Waste Management Services  Imperial Anekal Waste  Collection and Transportation.  October 2025,Services
Waste Management Services Hub&Spoke Waste Collection and Transportation,Services
waste pickup & Processing,Collection
Waste Plastic Scrap,Plastics
waste Processing Charges,Charges
Waste Segregation Bin,Bins
Water Bottles,Bottles
Water Can Stand,Plastics
Water Charges,Charges
WATER CO2 TYPE 50 LTR,Plastics
Water Cup PP,Plastics
Water Dispenser,Plastics
Water Level Controller,Machine
water motor connection,Machine
Water motor not worked,Machine
Water Purifier,Machine
Water purifier service,Machine
Waterproof Aprons,Textiles
WATT LED B22 LAMP 6500K HAVELL,Light
WEIGH BRIDGE ,Others
WEIGH BRIDGE CHARGES,Charges
Weighing Scale,Others
Weighing Scale Repair Charges,Charges
Weighing scale service,Services
WEIGHMENT CHARGES,Charges
Weight Bridge Charge ,Charges
Weld mesh,Metal
Welding,Metal
Welding For Baling Machine,Metal
WELDING ROD,Metal
Wet Transportation - one Paramount,Transport
Wet waste Clearing,Wet Waste
Wet Waste Processing to Biogas,Wet Waste
wet waste processing to compost,Wet Waste
wet waste processing to Composting,Wet Waste
Wet Waste Sorting Trough,Wet Waste
Wheelie Waste Bin 240Lts,Bins
Wheels,Bio
wheels soap,Bio
White Board - 3'2,Board
White Cover,Paper
WHITE HDPE,HDPE
White Marker Board - 6x4',Board
White Paper,Paper
WHITE PP,Plastics
White PP Bucket,Plastics
White PP CP,Plastics
White Shredded HDPE.,HDPE
Whitener,Plastics
whitner,Plastics
Wifi bill,IT
Wifi dongle,IT
Wind Shield Glass,Others
Window Grill Work,Others
WINDOW Steel Mesh Fabrication,Metal
WINDOW Steel Mesh Fabrication ,Metal
Wipro Emerald LED 5W,Light
WIRE ,Wire
Wiring,Wire
WITH RS 232 CONNECTION,Wire
Witness Charge per day,Charges
Wood - gatta,Furniture
Wood gat POP slash  20 nos,Furniture
Wood gatta,Furniture
wood scrap,Furniture
Wood Screw,Furniture
Work Table,Furniture
woven bags,Bags
Yearly API License,Others
Yellow HDPE,HDPE
ZEBRA ZD 420,Others
WHITE PAPER,Paper
NEWS PAPER,Paper
AMC Start Date:- 28/02/2023 End Date:- 29/02/2024,Services
Packing,Others
